statement,truth
"Sen. Clinton said ""the surge of troops in Iraq was ’working.’ Now.... Sen. Clinton says the surge ’has failed’ and that we should ’begin the immediate withdrawal of U.S. troops.’""",2
"""Bill Richardson passed the first law in the nation giving National Guard soldiers $400,000 in life insurance.""",4
"""In 1972, we had a 179,000 human beings in jail in this country. Today, it’s 2.3-million, and 70 percent of them are black, African-American.""",0
"""In state after state, polls make clear that the American public understands the Kelo ruling is a disaster.""",4
"We live in ""a time of historically low violent crime rates and historically high gun ownership rates nationally.""",3
"""I’m the first person who really took up the issue of the war. Four years ago I said that there was no proof that Iraq had weapons of mass destruction, and, actually... did an analysis which disproved the cause for the war.""",4
"""You know we can’t just pull out now... The truth of the matter is: If we started today, it would take one year, one year to get 160,000 troops physically out of Iraq, logistically.""",5
"""The president is brain-dead.""",0
"""(McCain) said he was opposed to overturning Roe v. Wade. Now he’s for overturning Roe v. Wade.""",3
"""(McCain) was opposed to ethanol. Now he’s for it.""",4
An estimated 56 million Americans don’t have bank accounts.,4
"Hillary Clinton was against setting a deadline for withdrawal, but now she wants a ""precipitous withdrawal"" regardless of ""conditions on the ground"" or ""consequences of a defeat for the United States,"" an RNC radio ad.",3
"Barack Obama supported keeping troops in Iraq, but now he wants a ""precipitous withdrawal"" regardless of ""conditions on the ground"" or ""consequences of a defeat for the United States,"" an RNC radio ad.",3
"""Let’s pay attention to kids who are not going to college, which ends up being about 60 percent of the kids... and get them trained for the jobs that are there. Because, you know, there are auto mechanic jobs paying $50,000, $60,000 that they can’t get filled. There are airline mechanic jobs paying a lot of money that can’t get filled."" Remarks at AFSCME forum 6/19/2007",5
"""... study after study has shown that the death penalty deters murders.""",3
"""He’s leading by example, refusing contributions from PACs and Washington lobbyists.""",3
"""Roadside bombs are responsible for 70 percent of casualties in Iraq and these new mine-resistant vehicles can reduce those casualties by two-thirds.""",4
"""Barack Obama and Hillary Clinton have changed their positions (on the Iraq war withdrawal) to follow Chris Dodd.""",3
"""I’ll tell you what I can tell this country: If they want a president who doesn’t believe in God, there’s probably plenty of choices.""",1
"""Democrats are kind of falling over each other seeing who can raise taxes faster. It looks like they’re going to raise taxes anywhere between 20 to 30 percent.""",3
"""I used tax cuts to help create over 80,000 jobs in New Mexico.""",4
"""Corporate profits are up, CEO pay is up, but average wages of Americans are flat.""",5
"""I’m for a three-state political solution in Iraq. (Romney) is not.""",5
"""If we increase fuel efficiency standards to 40, 45 miles a gallon, we would have to import zero oil from the Middle East.""",3
"""Both China and Japan have surpassed us, with Japanese cars now getting an average of 45 miles to the gallon.""",3
"New Mexico moved ""up to"" sixth in the nation in job growth.",4
"""For every single scientist that tells you (global warming is) happening and that it’s our fault...I can stack up another group of reports that say just the opposite.""",1
"""New Mexico was 46th in teacher pay (when he was elected), now we’re 29th.""",4
"""We now have the greatest income inequality since the Great Depression.""",5
"""Tommy Thompson is the father of welfare reform, creating the groundbreaking Wisconsin Works program in Wisconsin that became the model for national and international reforms.""",5
"""Tommy Thompson created the first school choice program in the nation, giving thousands of Milwaukee students the choice of where they go to school “ no matter where they live or how much money their parents make.""",5
"""The Legislative Ethics Commission continues to function.""",2
"""The No. 1 job vacancy in Florida every month for seven years has been nursing.""",5
"Says Glenn Grothman ""is the single-most partisan member of the House.""",3
"""Teachers spend $1.6 BILLION per year on school supplies. The Republican tax bill ELIMINATES their ability to deduct those expenses.""",3
"Says the University of Florida ""requests to cancel rivalry game"" against Florida State University.",0
"Chicago is ""the city with the strongest gun laws in our nation.""",0
"""Under the Tax Cuts and Jobs Act, the average American family of four will receive a $1,182 tax cut.""",4
"""There are no background checks on long guns (AR15s) in Texas.""",2
"""Texas Church shooter was Antifa and wanted to start (a) ’communist revolution.’ """,0
"Under the House Republican tax proposal, ""the average family of four earning median income ($59,000/year) will receive an additional $1,182 in their pocket every year.""",3
"Says Evan ""Jenkins has the same positions on the issues as Joe Manchin: supporting Hillary (Clinton), supporting cap-and-trade, supporting Planned Parenthood, many tax increases.""",2
"Says ""FBI and Texas State Police are both confirming that Raymond Peter Littleberry, the man accused of shooting up a Texas church, was an avid atheist on the payroll of the Democrat National Committee.""",0
"The diversity visa lottery is ""plagued by fraud.""",4
"Charles Francis ""vows to slash funding for parks and open space.""",2
"""Eight in 10 people this year can find plans for $75 a month or less.""",3
"""Coal production up 7.8% in past year. Down 31.5% last 10 years. #endingwaroncoal.""",4
"Says Florida ""workers are paid $8.10 an hour, and our current governor (Rick Scott) runs ads bragging about it.""",2
"""IDC members also get tons of campaign money from real estate, charter school, and health care lobbyists, some of whom are Republicans with connections to Trump""",4
"""Liberals in County Hall want our community to be a sanctuary county""",0
"""When I saw corruption and sexual harassment cover-ups I called on Sheldon Silver to resign.""",5
"""With this plan, the typical family of four will save $1,182 a year on their taxes.""",3
"""Part of this omnibus gun bill that year (was) legalizing machine guns in the state of Missouri.""",3
"Says special counsel Robert Mueller ""has brought in Democrat campaign donors at a very high level"" on his team of lawyers.",3
"""We’re growing union jobs faster than Illinois.""",5
"Says Jake Tapper said Allahu Akbar was a ""beautiful phrase"" after a terrorist attack in New York.",0
Says diversity visa immigrants are not vetted.,1
"""We are spending more on affordable housing than we’re spending on Dix Park right now.""",5
"""Under Gov. (Rick) Scott’s leadership, Florida has had much success in lowering the rate of uninsured children.""",3
"""California Democrat Maxine Waters charged on 3 counts.""",2
"""It costs nearly five times as much in California to build and maintain a mile of road as it does in the rest of the nation.""",1
"""Alabama’s Crimson Tide was disqualified from national championship.""",0
"Says actor Morgan Freeman said, ""Jailing Hillary"" is the best way to ""restore public faith in government.""",0
"Says the diversity visa lottery program is ""a Chuck Schumer beauty.""",2
"Says county parties representing more than half the state’s Republican voters approved resolutions ""demanding changes"" in Texas House leadership.",5
"""Tammy Baldwin voted for $5 trillion in higher taxes.""",3
"Says HIV and AIDS rates have spiked ""due to increased heroin and fentanyl use.""",2
"""Hillary Clinton leaves the country as Mueller indictment is announced.""",0
"""Breitbart leaks names of four Dems being charged in Mueller’s Russia probe.""",0
"""For the last 10 years, our economy has grown at less than 2 percent on average every single year for 10 years. We have not had a decade like that in a century in America.""",3
"The University of Missouri saw ""the biggest drop in enrollment of any major university in the country"" since the 2015 protests.",2
"""The six wealthiest people in the world (have) as much wealth as the bottom half of the world’s population, 3.7 billion people.""",4
"Says Paul Manafort’s alleged crimes were ""years ago, before Paul Manafort was part of the Trump campaign.""",2
"Says Patrick Morrisey ""ran for Congress in NJ as pro-choice.""",1
"""Jeff Flake’s office leaks names of those charged in Mueller’s Russian probe.""",0
"""Ninety percent of people born in the 1940s ended up doing better financially than their parents. But those born in the 1980s, the much-maligned Millennials, have only a 50-50 chance of doing better (financially) than their parents, despite being the best-educated generation in our history.""",5
"Says West Virginia is ""down to around 50 percent of the adult workers who are actually working now because of addiction or conviction.""",3
"""To be clear, all my investments are in a trust that I don’t control.""",3
"What Republicans call the ""death tax"" is the estate tax ""on the ultra wealthy"" which, in 2016, was paid by only ""two out of every 1,000 people.""",5
"""Less than half of Texans ages 18-24 are registered to vote.""",3
"""We have done more in eight months than the previous administration has done in many years"" against ISIS.",3
"Says Roy Moore ""has advocated getting the federal government out of health care altogether, which means doing away with Medicaid, which means doing away with Medicare.""",1
"Says the GOP plan he supports is ""the biggest tax cut in U.S. history.""",1
"""Youngest world leader bans George Soros’s Foundations from Austria.""",0
"""The Travis County propositions will not raise your taxes! If you are 65 or older, your property taxes are frozen.""",1
"""People who die from a home invasion make up a sad but minuscule .04% of all gun murders in the U.S. And over a third of them are killed by their own gun that the criminal has either stolen or wrestled from them.""",2
"""There are parks in Southeast Raleigh that still don’t have air conditioning in the gym""",4
"Abortion in the U.S. ""is at an all time legal low.""",3
"Says ""46 percent of people believe major national news organizations fabricate stories about me.""",3
"""The city (of St. Louis) is no stranger to violence. There were 5,762 violent crimes in 2015 alone, including 188 homicides. The highest rate per capita in the country, according to FBI crime statistics.""",4
"Insurance companies ""have made a fortune with Obamacare.""",1
"""Opioid crisis (is) the worst in ObamaCare expansion states!""",2
Sarah Huckabee Sanders dressed up as KKK member on Halloween in 1993.,0
"Says Tampa Bay Lightning hockey player J.T. Brown was ""fired after raising fist during national anthem.""",0
"""Tulsa school closes after brutal fire.""",0
"""The KKK was founded as the military arm of the Democratic Party.""",1
"""Seventy-three percent of our veterans are graduating from drug courts. By contrast, I think most of the people in the very good drug court program  -  the graduation rate’s like 53, 55 percent. The point of that is that drug courts are working for veterans.""",4
"""Women in our state will continue to have cost-free access to reproductive health care""",4
"The state and local tax deduction is a major benefit for moderate-income households because ""50% of households that claim State & Local Tax deduction make under $100K.""",4
"At a 2015 dedication of an FBI building in Florida, Rep. Frederica Wilson ""stood up there ... and talked about how she was instrumental in getting the funding for that building, and how she took care of her constituents because she got the money, and she just called up President Obama, and on that phone call he gave the money -- the $20 million -- to build the building. And she sat down.""",1
"Says ""80 percent of the tax breaks in"" President Donald Trump’s tax-cut ""proposal go to the top 1 percent, that is, people making more than $730,000 a year.""",3
"""The Alamo has been consistently listed as one of the most disappointing landmarks in our nation.""",3
"An undocumented immigrant ""was arrested on suspicion of arson in (the) Wine Country fires that have killed at least 40 residents.""",1
"In 2016, there were 5,570 people in Wisconsin ""who committed crimes on probation and they were not revoked.""",3
"""And over the last six years, Chicago’s economy has grown faster than the economies of New York City, Washington, D.C., or the national average.""",2
"NFL players taking a knee during the national anthem is ""against the law.""",1
"In the U.S. asylum system, ""claims of ’fear to return’ have skyrocketed, and the percentage of claims that are genuinely meritorious are down.""",3
"""And I think that his engagement with Congress is something that never happened under President Obama. They were never allowed to debate it. They were never allowed to discuss it. So, now Congress is going to be fully engaged on the threats of Iran.""",2
"""The child tax credit, if we don’t do it, there will be no tax relief for working families. How much tax relief working families get under tax reform is entirely dependent on whether or not we put in place an increase to the child tax credit.""",4
